county_code,district_code,school_code,educational_option,charter,low_grade,high_grade,enrollment,free_meal_count,f_percent,free_and_reduce_count,fr_percent
1,61309,137745,Continuation School,N,7,12,126,61,0.55,65,0.586
1,61309,137810,Traditional,N,9,12,1386,833,0.633,1014,0.771
1,61309,6002505,Traditional,N,K,5,542,222,0.42,275,0.521
1,61309,6002513,Traditional,N,6,8,834,461,0.553,562,0.674
1,61309,6002521,Traditional,N,K,5,639,477,0.76,535,0.852
1,61309,6002539,Traditional,N,K,5,595,286,0.486,354,0.601
1,61309,6002547,Traditional,N,K,5,507,247,0.489,311,0.616
1,61309,6002554,Traditional,N,K,5,524,261,0.51,343,0.67
1,61309,6002562,Traditional,N,6,8,659,482,0.731,548,0.832
1,61309,6002604,Traditional,N,K,5,417,201,0.494,263,0.646
1,61309,6002612,Traditional,N,K,5,706,466,0.674,544,0.787
1,61309,6002620,Traditional,N,K,5,512,399,0.796,452,0.902
1,61309,6002653,Traditional,N,K,5,619,412,0.678,485,0.798
1,61309,6002703,Traditional,N,6,8,861,371,0.431,487,0.566
1,75093,114579,Traditional,N,K,5,891,17,0.019,20,0.023
1,75093,123935,Traditional,N,K,5,836,27,0.033,30,0.037
1,75093,125930,Traditional,N,6,8,1388,36,0.026,54,0.039
1,75093,131615,Traditional,N,K,5,741,5,0.007,8,0.011
1,75093,132704,Traditional,N,9,12,2273,158,0.072,192,0.087
1,75093,138453,Continuation School,N,9,12,56,12,0.255,12,0.255
1,75093,6001374,Traditional,N,K,5,811,58,0.073,76,0.095
1,75093,6001390,Traditional,N,K,5,769,109,0.144,133,0.176
1,75093,6001424,Traditional,N,K,5,453,54,0.126,64,0.15
1,75093,6066484,Traditional,N,6,8,873,127,0.145,155,0.178
1,75093,6118038,Traditional,N,K,5,874,16,0.019,19,0.022
1,75101,0,N/A,N/A,P,Adult,31,1,0.036,1,0.036
1,75101,1,N/A,N/A,,,13,0,0,0,0
1,75101,130096,Traditional,N,9,12,2085,84,0.041,102,0.05
1,75101,130252,Continuation School,N,9,12,104,21,0.25,27,0.321
1,75101,130583,Traditional,N,9,12,2628,112,0.044,151,0.059
1,75101,6001366,Traditional,N,K,5,825,30,0.036,35,0.042
1,75101,6001416,Traditional,N,K,5,690,31,0.046,39,0.058
1,75101,6002315,Traditional,N,K,5,628,39,0.064,48,0.078
1,75101,6002323,Traditional,N,K,5,785,44,0.057,52,0.068
1,75101,6002349,Traditional,N,K,5,674,136,0.205,158,0.239
1,75101,6002356,Traditional,N,K,5,739,19,0.026,24,0.032
1,75101,6066500,Traditional,N,6,8,1192,43,0.036,58,0.049
1,75101,6089361,Traditional,N,K,5,611,11,0.018,14,0.023
1,75101,6108971,Traditional,N,6,8,1272,109,0.086,129,0.101
1,75101,6114318,Traditional,N,K,5,621,29,0.048,33,0.054
1,75101,6117592,Traditional,N,6,8,1167,55,0.047,74,0.063
1,75101,6117600,Traditional,N,K,5,689,43,0.063,49,0.072
1,75119,6002711,Traditional,N,K,8,281,13,0.046,13,0.046
2,10025,230011,Opportunity School,N,1,12,5,3,0.75,3,0.75
2,61333,6002794,Traditional,N,K,8,80,44,0.55,50,0.625
3,10033,1,N/A,N/A,,,14,7,0.538,7,0.538
3,10033,129692,Traditional,Y,6,8,42,12,0.286,18,0.429
3,10033,330035,County Community School,N,1,12,18,7,0.389,10,0.556
3,10033,330068,Special Education School,N,K,12,157,96,0.644,111,0.745
3,73981,330019,Continuation School,N,9,12,55,39,0.796,41,0.837
3,73981,330050,Alternative School of Choice,N,K,12,68,29,0.475,33,0.541
3,73981,330753,Traditional,N,9,12,645,195,0.309,247,0.391
