school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
Central California Connections Academy,ela,403,True,0.38799999999999996,0.501,3.977104510016777,50.375,6,2,0,0,3617.4807297297293,0.46147342995169083
Central California Connections Academy,math,403,True,0.38799999999999996,0.501,3.977104510016777,50.375,6,2,0,0,3617.4807297297293,0.1902450980392157
Central City Value,ela,483,True,0.785,0.9079999999999999,22.62295081967213,54.0268456375839,7,4,0,0.024844720496894408,5587.211817288847,0.76
Central City Value,math,483,True,0.785,0.9079999999999999,22.62295081967213,54.0268456375839,7,4,0,0.024844720496894408,5587.211817288847,0.47
Central Coast New Tech High,ela,341,False,0.25,0.336,14.208333333333334,341.0,6,5,0,0.0,5030.069209641253,0.7000000000000001
Central Coast New Tech High,math,341,False,0.25,0.336,14.208333333333334,341.0,6,5,0,0.0,5030.069209641253,0.19999999999999998
Central High East Campus,ela,4142,False,0.534,0.63,21.572916666666668,243.64705882352942,12,9,0,0.09174311926605505,4450.319057708217,0.55
Central High East Campus,math,4142,False,0.534,0.63,21.572916666666668,243.64705882352942,12,9,0,0.09174311926605505,4450.319057708217,0.14
Central Union High,ela,1889,False,0.657,0.75,22.891420261754728,377.8,13,10,0,0.0,5676.917461165052,0.64
Central Union High,math,1889,False,0.657,0.75,22.891420261754728,377.8,13,10,0,0.0,5676.917461165052,0.28
Central Valley High,ela,1834,False,0.7120000000000001,0.833,22.89637952559301,191.04166666666669,7,5,0,0.0059978189749182115,4930.258275282077,0.5732768361581921
Central Valley High,math,1834,False,0.7120000000000001,0.833,22.89637952559301,191.04166666666669,7,5,0,0.0059978189749182115,4930.258275282077,0.15648183556405354
Century High,ela,1883,False,0.9590000000000001,0.963,19.462532299741603,470.75,15,14,0,0.10037174721189591,5489.975345472109,0.34
Century High,math,1883,False,0.9590000000000001,0.963,19.462532299741603,470.75,15,14,0,0.10037174721189591,5489.975345472109,0.11
Ceres High,ela,1738,False,0.6459999999999999,0.79,20.839328537170264,158.0,10,7,0,0.08285385500575373,4930.258275282077,0.5599999999999999
Ceres High,math,1738,False,0.6459999999999999,0.79,20.839328537170264,158.0,10,7,0,0.08285385500575373,4930.258275282077,0.21
Cerritos High,ela,2132,False,0.188,0.294,23.636363636363637,710.6666666666666,16,13,0,0.019230769230769232,5709.045772899396,0.8700000000000001
Cerritos High,math,2132,False,0.188,0.294,23.636363636363637,710.6666666666666,16,13,0,0.019230769230769232,5709.045772899396,0.65
Cesar Chavez High,ela,2177,False,0.648,0.7509999999999999,26.232076153753464,362.8333333333333,10,10,0,0.12126779972439136,4812.613768723344,0.34961024498886417
Cesar Chavez High,math,2177,False,0.648,0.7509999999999999,26.232076153753464,362.8333333333333,10,10,0,0.12126779972439136,4812.613768723344,0.09988864142538975
Cesar E. Chavez High,ela,1345,False,0.696,0.846,21.06829573934837,336.25,11,10,0,0.04237918215613383,5680.6574458977375,0.73
Cesar E. Chavez High,math,1345,False,0.696,0.846,21.06829573934837,336.25,11,10,0,0.04237918215613383,5680.6574458977375,0.37
Cesar E. Chavez Learning Academies-Academy Of Scie,ela,477,False,0.684,0.8290000000000001,21.681818181818183,477.0,9,9,0,0,5587.211817288847,0.67
Cesar E. Chavez Learning Academies-Academy Of Scie,math,477,False,0.684,0.8290000000000001,21.681818181818183,477.0,9,9,0,0,5587.211817288847,0.23
Cesar E. Chavez Learning Academies-Social Justice ,ela,509,False,0.713,0.883,17.551724137931036,254.5,8,8,0,0,5587.211817288847,0.62
Cesar E. Chavez Learning Academies-Social Justice ,math,509,False,0.713,0.883,17.551724137931036,254.5,8,8,0,0,5587.211817288847,0.25
Cesar E. Chavez Learning Academies-Teacher Prepara,ela,482,False,0.68,0.812,20.091704877032097,241.0,10,10,0,0.0,5587.211817288847,0.43
Cesar E. Chavez Learning Academies-Teacher Prepara,math,482,False,0.68,0.812,20.091704877032097,241.0,10,10,0,0.0,5587.211817288847,0.08
Cesar E. Chavez Learning Academy - Arts/Theatre/En,ela,498,False,0.66,0.833,19.92,249.0,10,10,0,0,5587.211817288847,0.4
Cesar E. Chavez Learning Academy - Arts/Theatre/En,math,498,False,0.66,0.833,19.92,249.0,10,10,0,0,5587.211817288847,0.04
Chaffey High,ela,3482,False,0.7290000000000001,0.8759999999999999,24.098553533116476,587.1838111298482,16,14,0,0.07409534750143595,5430.401179754528,0.64
Chaffey High,math,3482,False,0.7290000000000001,0.8759999999999999,24.098553533116476,587.1838111298482,16,14,0,0.07409534750143595,5430.401179754528,0.26999999999999996
Champs - Charter Hs Of Arts-Multimedia & Performin,ela,800,True,0.332,0.46299999999999997,16.632016632016633,123.07692307692308,8,3,0,0.01375,5587.211817288847,0.5800000000000001
Champs - Charter Hs Of Arts-Multimedia & Performin,math,800,True,0.332,0.46299999999999997,16.632016632016633,123.07692307692308,8,3,0,0.01375,5587.211817288847,0.17
Channel Islands High,ela,2433,False,0.613,0.7440000000000001,25.51116703365838,304.125,11,11,0,0.0,5190.628910891084,0.5900000000000001
Channel Islands High,math,2433,False,0.613,0.7440000000000001,25.51116703365838,304.125,11,11,0,0.0,5190.628910891084,0.2
Chaparral High,ela,3163,False,0.17,0.23800000000000002,22.528490028490026,385.7317073170732,17,11,0,0.05848877647802719,4552.128680157356,0.83
Chaparral High,math,3163,False,0.17,0.23800000000000002,22.528490028490026,385.7317073170732,17,11,0,0.05848877647802719,4552.128680157356,0.46
Charter Alternatives Academy,ela,87,True,0.733,0.733,6.904761904761905,20.963855421686745,12,4,0,0.5517241379310345,5035.766665382182,0.0408695652173913
Charter Alternatives Academy,math,87,True,0.733,0.733,6.904761904761905,20.963855421686745,12,4,0,0.5517241379310345,5035.766665382182,0.0
Charter Oak High,ela,1645,False,0.39,0.49700000000000005,24.924242424242426,199.6359223300971,16,12,0,0.0121580547112462,4546.960322971335,0.63
Charter Oak High,math,1645,False,0.39,0.49700000000000005,24.924242424242426,199.6359223300971,16,12,0,0.0121580547112462,4546.960322971335,0.31
Charter School Of San Diego,ela,2226,True,0.611,0.731,31.35211267605634,445.2,9,5,0,0.0,-5090.988202698735,0.4691036717062635
