school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,susp_per_enrollment,district_budget_per_student,percent_met_and_above
El Cerrito Middle,math,1309,False,0.213,0.295,27.1858774662513,654.5,13,11,0.026737967914438502,5026.825883157777,0.4614769108280255
El Dorado Middle,ela,983,False,0.545,0.633,21.0357372137813,245.75,13,10,0.12512716174974567,254.86259646930188,0.29990605427974953
El Dorado Middle,math,983,False,0.545,0.633,21.0357372137813,245.75,13,10,0.12512716174974567,254.86259646930188,0.19053423236514525
El Monte Middle,ela,934,False,0.83,0.9279999999999999,18.256450351837373,311.3333333333333,11,9,0.11884368308351177,5766.849833943839,0.2513105726872247
El Monte Middle,math,934,False,0.83,0.9279999999999999,18.256450351837373,311.3333333333333,11,9,0.11884368308351177,5766.849833943839,0.21965686274509802
El Portal Middle,ela,591,False,0.462,0.5529999999999999,21.640424752837788,295.5,12,8,0.08967851099830795,4964.912917107582,0.347679794520548
El Portal Middle,math,591,False,0.462,0.5529999999999999,21.640424752837788,295.5,12,8,0.08967851099830795,4964.912917107582,0.3004452054794521
El Segundo Middle,ela,835,False,0.113,0.14,23.857142857142858,417.5,13,9,0.013173652694610778,4812.087677902622,0.7191727493917276
El Segundo Middle,math,835,False,0.113,0.14,23.857142857142858,417.5,13,9,0.013173652694610778,4812.087677902622,0.6019427527405603
El Sereno Middle,ela,1242,False,0.741,0.863,18.818181818181817,621.0,16,15,0,5587.211817288847,0.302134927412468
El Sereno Middle,math,1242,False,0.741,0.863,18.818181818181817,621.0,16,15,0,5587.211817288847,0.2423670668953688
El Tejon Elementary,ela,218,False,0.555,0.638,24.22222222222222,218.0,17,9,0.1743119266055046,4672.572657068063,0.360848623853211
El Tejon Elementary,math,218,False,0.555,0.638,24.22222222222222,218.0,17,9,0.1743119266055046,4672.572657068063,0.24147465437788018
Eleanor J. Toll Middle,ela,1241,False,0.484,0.616,23.066914498141266,620.5,16,15,0.016116035455278,5550.579061147911,0.551094009983361
Eleanor J. Toll Middle,math,1241,False,0.484,0.616,23.066914498141266,620.5,16,15,0.016116035455278,5550.579061147911,0.4787297734627832
Eleanor Murray Fallon,ela,1388,False,0.026000000000000002,0.039,24.080499653018737,694.0,9,6,0.0,5205.852392373307,0.8621632503660324
Eleanor Murray Fallon,math,1388,False,0.026000000000000002,0.039,24.080499653018737,694.0,9,6,0.0,5205.852392373307,0.8197846715328467
Elizabeth Terronez Middle,ela,686,False,0.633,0.924,19.37853107344633,343.0,14,12,0.14285714285714285,5637.446769398318,0.2873507462686567
Elizabeth Terronez Middle,math,686,False,0.633,0.924,19.37853107344633,343.0,14,12,0.14285714285714285,5637.446769398318,0.08561285500747386
Elizabeth Ustach Middle,ela,1035,False,0.316,0.40299999999999997,22.4025974025974,1035.0,9,8,0.01352657004830918,4280.553450023573,0.4979813359528487
Elizabeth Ustach Middle,math,1035,False,0.316,0.40299999999999997,22.4025974025974,1035.0,9,8,0.01352657004830918,4280.553450023573,0.5079705882352941
Elkhorn,ela,272,False,0.316,0.415,19.582433405327574,544.0,11,11,0.0,5364.942499424249,0.9628413284132842
Elkhorn,math,272,False,0.316,0.415,19.582433405327574,544.0,11,11,0.0,5364.942499424249,0.9192619926199262
Elmhurst Community Prep,ela,371,False,0.9,0.943,18.41191066997519,231.875,5,4,0.08086253369272237,4715.8310267220695,0.19250681198910083
Elmhurst Community Prep,math,371,False,0.9,0.943,18.41191066997519,231.875,5,4,0.08086253369272237,4715.8310267220695,0.06797554347826087
Elsinore Middle,ela,828,False,0.622,0.774,24.069767441860467,414.0,10,9,0.07125603864734299,4804.123363656836,0.3519413233458178
Elsinore Middle,math,828,False,0.622,0.774,24.069767441860467,414.0,10,9,0.07125603864734299,4804.123363656836,0.2516375
Emerald Middle,ela,525,False,0.872,0.93,19.444444444444443,,15,10,0.2742857142857143,4745.384207870229,0.32786982248520713
