school_name,test_id,enrollment,charter,f_percent,fr_percent,student_teacher_ratio,student_admin_ratio,avg_exp,avg_yrs_district,dropouts_per_enrollment,susp_per_enrollment,district_budget_per_student,percent_met_and_above
De Anza Elementary,math,621,False,0.653,0.813,21.413793103448278,310.5,14,11,0,0.030595813204508857,4812.352567396415,0.2573450586264657
De Portola Elementary,ela,552,False,0.057999999999999996,0.063,23.009587328053357,552.0,19,17,0,0.0,4963.127804291786,0.8083724340175952
De Portola Elementary,math,552,False,0.057999999999999996,0.063,23.009587328053357,552.0,19,17,0,0.0,4963.127804291786,0.7093401759530792
Dearborn Elementary Charter Academy,ela,518,True,0.375,0.5,21.583333333333332,518.0,16,16,0,0,5587.211817288847,0.51009765625
Dearborn Elementary Charter Academy,math,518,True,0.375,0.5,21.583333333333332,518.0,16,16,0,0,5587.211817288847,0.4793359375
Deborah A. Williams Elementary,ela,651,False,0.858,0.975,22.938689217758984,325.5,15,13,0,0.12749615975422426,5637.446769398318,0.21829721362229104
Deborah A. Williams Elementary,math,651,False,0.858,0.975,22.938689217758984,325.5,15,13,0,0.12749615975422426,5637.446769398318,0.15222222222222223
Decker Elementary,ela,541,False,0.531,0.644,18.655172413793103,541.0,14,14,0,0.0,5690.682534390678,0.4716323024054983
Decker Elementary,math,541,False,0.531,0.644,18.655172413793103,541.0,14,14,0,0.0,5690.682534390678,0.22092783505154637
Deer Canyon Elementary,ela,504,False,0.061,0.083,23.333333333333332,504.0,13,12,0,0.0,4502.411981213837,0.741215106732348
Deer Canyon Elementary,math,504,False,0.061,0.083,23.333333333333332,504.0,13,12,0,0.0,4502.411981213837,0.631516393442623
Deer Creek Elementary,ela,417,False,0.276,0.335,21.94736842105263,417.0,16,12,0,0.0,4924.733100686498,0.6191666666666666
Deer Creek Elementary,math,417,False,0.276,0.335,21.94736842105263,417.0,16,12,0,0.0,4924.733100686498,0.5612849162011173
Deerfield Elementary,ela,656,False,0.133,0.175,27.796610169491522,656.0,15,13,0,0.0,4872.906773415019,0.7897721179624666
Deerfield Elementary,math,656,False,0.133,0.175,27.796610169491522,656.0,15,13,0,0.0,4872.906773415019,0.7784840425531916
Del Amo Elementary,ela,405,False,0.5820000000000001,0.715,19.285714285714285,405.0,17,17,0,0,5587.211817288847,0.29834269662921353
Del Amo Elementary,math,405,False,0.5820000000000001,0.715,19.285714285714285,405.0,17,17,0,0,5587.211817288847,0.2600558659217877
Del Cerro Elementary,ela,526,False,0.205,0.27899999999999997,19.924242424242426,526.0,16,15,0,0,4963.127804291786,0.568664596273292
Del Cerro Elementary,math,526,False,0.205,0.27899999999999997,19.924242424242426,526.0,16,15,0,0,4963.127804291786,0.4897670807453416
Del Dayo Elementary,ela,587,False,0.113,0.13,23.48,587.0,13,13,0,0.0,4674.786103623593,0.6699526813880127
Del Dayo Elementary,math,587,False,0.113,0.13,23.48,587.0,13,13,0,0.0,4674.786103623593,0.5878233438485806
Del Lago Elementary,ela,584,False,0.25,0.29600000000000004,20.137931034482758,584.0,15,13,0,0.0,4963.127804291786,0.49045845272206307
Del Lago Elementary,math,584,False,0.25,0.29600000000000004,20.137931034482758,584.0,15,13,0,0.0,4963.127804291786,0.3672142857142857
Del Mar Elementary,ela,415,False,0.63,0.684,20.95959595959596,415.0,13,10,0,0.0,5337.736429249762,0.39020655270655275
Del Mar Elementary,math,415,False,0.63,0.684,20.95959595959596,415.0,13,10,0,0.0,5337.736429249762,0.3042034139402561
Del Mar Heights Elementary,ela,459,False,0.031,0.039,16.751824817518248,459.0,17,14,0,0.0,6359.559928472542,0.8719216417910448
Del Mar Heights Elementary,math,459,False,0.031,0.039,16.751824817518248,459.0,17,14,0,0.0,6359.559928472542,0.8522014925373135
Del Mar Hills Elementary,ela,322,False,0.062,0.075,14.609800362976408,322.0,14,10,0,0.0,6359.559928472542,0.8707526881720431
Del Mar Hills Elementary,math,322,False,0.062,0.075,14.609800362976408,322.0,14,10,0,0.0,6359.559928472542,0.82953125
Del Norte Elementary,ela,588,False,0.833,0.909,21.77777777777778,196.0,19,16,0,0.0,6218.696344296653,0.3185215946843854
Del Norte Elementary,math,588,False,0.833,0.909,21.77777777777778,196.0,19,16,0,0.0,6218.696344296653,0.21993333333333334
Del Obispo Elementary,ela,377,False,0.41,0.457,19.904963041182683,377.0,15,15,0,0.0,4497.252292958168,0.49839622641509435
Del Obispo Elementary,math,377,False,0.41,0.457,19.904963041182683,377.0,15,15,0,0.0,4497.252292958168,0.48094339622641513
Del Paso Heights Elementary,ela,533,False,0.861,0.927,20.11320754716981,533.0,15,12,0,0.16322701688555347,5592.081640170847,0.1172935779816514
Del Paso Heights Elementary,math,533,False,0.861,0.927,20.11320754716981,533.0,15,12,0,0.16322701688555347,5592.081640170847,0.14816109422492402
Del Paso Manor Elementary,ela,612,False,0.557,0.608,23.53846153846154,612.0,11,11,0,0.0,4674.786103623593,0.41725988700564975
Del Paso Manor Elementary,math,612,False,0.557,0.608,23.53846153846154,612.0,11,11,0,0.0,4674.786103623593,0.35862533692722376
Del Rey Elementary,ela,639,False,0.9570000000000001,0.9840000000000001,23.666666666666668,639.0,10,9,0,0.14553990610328638,5208.163459288152,0.3608939628482972
Del Rey Elementary,math,639,False,0.9570000000000001,0.9840000000000001,23.666666666666668,639.0,10,9,0,0.14553990610328638,5208.163459288152,0.29718918918918913
Del Rey Woods Elementary,ela,459,False,0.815,0.9359999999999999,19.956521739130434,459.0,10,10,0,0.032679738562091505,4726.071041098461,0.4808181818181818
Del Rey Woods Elementary,math,459,False,0.815,0.9359999999999999,19.956521739130434,459.0,10,10,0,0.032679738562091505,4726.071041098461,0.5387954545454545
Del Rio Elementary,ela,457,False,0.6759999999999999,0.8420000000000001,21.761904761904763,457.0,17,16,0,0.05032822757111598,4701.599986681893,0.359988986784141
Del Rio Elementary,math,457,False,0.6759999999999999,0.8420000000000001,21.761904761904763,457.0,17,16,0,0.05032822757111598,4701.599986681893,0.33103524229074893
Del Roble Elementary,ela,460,False,0.47100000000000003,0.596,25.555555555555557,460.0,13,12,0,0.0,4967.654539127163,0.39466403162055336
Del Roble Elementary,math,460,False,0.47100000000000003,0.596,25.555555555555557,460.0,13,12,0,0.0,4967.654539127163,0.3229644268774704
Del Rosa Elementary,ela,581,False,0.895,0.9590000000000001,24.208333333333332,290.5,17,15,0,0.1962134251290878,5931.2610631671805,0.17964689265536724
Del Rosa Elementary,math,581,False,0.895,0.9590000000000001,24.208333333333332,290.5,17,15,0,0.1962134251290878,5931.2610631671805,0.13929378531073447
Del Sur Elementary,ela,705,False,0.078,0.092,26.806083650190114,705.0,12,11,0,0.0,4502.411981213837,0.8493620689655172
Del Sur Elementary,math,705,False,0.078,0.092,26.806083650190114,705.0,12,11,0,0.0,4502.411981213837,0.8217869415807559
Del Valle Elementary,ela,405,False,0.856,0.946,22.5,405.0,14,13,0,0.0,6539.490618061652,0.37163967611336035
Del Valle Elementary,math,405,False,0.856,0.946,22.5,405.0,14,13,0,0.0,6539.490618061652,0.30032388663967613
Del Vista Math And Science Academy,ela,571,True,0.8190000000000001,0.915,23.791666666666668,285.5,11,11,0,0.0,5792.095376938637,0.2914473684210527
Del Vista Math And Science Academy,math,571,True,0.8190000000000001,0.915,23.791666666666668,285.5,11,11,0,0.0,5792.095376938637,0.11784132841328414
Delaine Eastin Elementary,ela,851,False,0.153,0.21899999999999997,18.91111111111111,425.5,16,15,0,0.0,4856.007921288306,0.6891071428571429
Delaine Eastin Elementary,math,851,False,0.153,0.21899999999999997,18.91111111111111,425.5,16,15,0,0.0,4856.007921288306,0.666924882629108
